,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__max_depth,param_DT__min_samples_split,param_features__pca__n_components,param_features__univ_select__k,param_features__univ_select__score_func,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
334,0.004333337,0.003000021,0.806896552,0.962091924,40,8,2,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",178,0.795918367,0.96875,0.8125,0.979381443,0.8125,0.93814433,0.000471483,0,0.007843194,0.017480892
337,0.076000055,0.003000021,0.806896552,0.944873998,40,8,3,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 8, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.755102041,0.958333333,0.833333333,0.93814433,0.833333333,0.93814433,0.000816535,0,0.037003786,0.009517187
339,0.076333284,0.003000021,0.806896552,0.955290664,40,8,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 8, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",178,0.775510204,0.989583333,0.833333333,0.93814433,0.8125,0.93814433,0.00047137,0,0.0239719,0.024248579
343,0.06733338,0.003000021,0.806896552,0.934457331,40,10,1,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 10, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.795918367,0.927083333,0.833333333,0.93814433,0.791666667,0.93814433,0.005792698,0.000816437,0.018678116,0.005214204
0,0.003000021,0.002000093,0.8,0.986254296,5,2,1,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",233,0.734693878,1,0.833333333,0.969072165,0.833333333,0.989690722,0,0,0.046656947,0.012857929
2,0.003000021,0.002333244,0.8,0.972365407,5,2,1,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.775510204,0.958333333,0.833333333,0.969072165,0.791666667,0.989690722,0,0.000471483,0.02436142,0.013011675
7,0.052333275,0.002000093,0.8,0.993127148,5,2,2,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",233,0.714285714,1,0.833333333,1,0.854166667,0.979381443,0.001247214,0,0.061821025,0.009719681
12,0.002999942,0.002333403,0.8,0.996563574,5,2,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",233,0.714285714,1,0.791666667,0.989690722,0.895833333,1,1.12E-07,0.00047137,0.074471317,0.00485984
29,0.053333441,0.002000014,0.8,0.979274055,5,4,2,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",233,0.734693878,0.96875,0.8125,0.989690722,0.854166667,0.979381443,0.001699659,1.12E-07,0.049640982,0.008549351
34,0.004000028,0.001999935,0.8,0.968893184,5,4,3,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",233,0.734693878,0.947916667,0.8125,0.979381443,0.854166667,0.979381443,1.12E-07,1.12E-07,0.049640982,0.014832638
48,0.003666639,0.001666705,0.8,0.965564147,5,6,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 6, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",233,0.734693878,0.979166667,0.833333333,0.969072165,0.833333333,0.948453608,0.000942741,0.000471483,0.046656947,0.012781566
51,0.056999922,0.002333403,0.8,0.975945017,5,6,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 6, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",233,0.775510204,1,0.8125,0.979381443,0.8125,0.948453608,0.005099024,0.00047137,0.017496355,0.021183553
68,0.002999942,0.001666625,0.8,0.948274628,5,8,3,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 8, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.775510204,0.947916667,0.8125,0.958762887,0.8125,0.93814433,1.12E-07,0.000471427,0.017496355,0.008421295
74,0.003000021,0.002000014,0.8,0.944802405,5,10,1,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 10, 'DT__max_depth': 5, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.775510204,0.9375,0.833333333,0.958762887,0.791666667,0.93814433,0,1.12E-07,0.02436142,0.009875055
87,0.051666657,0.002000014,0.8,0.944873998,5,10,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 10, 'DT__max_depth': 5, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",233,0.755102041,0.958333333,0.833333333,0.93814433,0.8125,0.93814433,0.000471314,1.12E-07,0.033177562,0.009517187
94,0.003000021,0.002000014,0.8,1,10,2,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",233,0.734693878,1,0.833333333,1,0.833333333,1,0,1.12E-07,0.046656947,0
98,0.00333333,0.001666625,0.8,1,10,2,2,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.755102041,1,0.791666667,1,0.854166667,1,0.000471539,0.000471427,0.040932423,0
102,0.002999942,0.002333403,0.8,1,10,2,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",233,0.714285714,1,0.791666667,1,0.895833333,1,1.12E-07,0.00047137,0.074471317,0
105,0.052666664,0.002333323,0.8,1,10,2,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",233,0.755102041,1,0.833333333,1,0.8125,1,0.00235702,0.000471427,0.033177562,0
138,0.00333333,0.002000014,0.8,0.965564147,10,6,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 6, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",233,0.734693878,0.979166667,0.833333333,0.969072165,0.833333333,0.948453608,0.00047137,1.12E-07,0.046656947,0.012781566
148,0.003000021,0.001999855,0.8,0.948274628,10,8,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 8, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",233,0.795918367,0.947916667,0.8125,0.958762887,0.791666667,0.93814433,0,0,0.008963397,0.008421295
149,0.053333282,0.002000093,0.8,0.955219072,10,8,1,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 8, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",233,0.734693878,0.96875,0.833333333,0.958762887,0.833333333,0.93814433,0.003299761,0,0.046656947,0.012743514
152,0.003000021,0.002000014,0.8,0.955219072,10,8,2,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.795918367,0.96875,0.8125,0.958762887,0.791666667,0.93814433,0,1.12E-07,0.008963397,0.012743514
158,0.002999942,0.002000014,0.8,0.958691294,10,8,3,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 8, 'DT__max_depth': 10, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",233,0.775510204,0.979166667,0.8125,0.958762887,0.8125,0.93814433,1.12E-07,1.12E-07,0.017496355,0.016747375
169,0.053000053,0.001999935,0.8,0.944873998,10,10,2,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 10, 'DT__max_depth': 10, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",233,0.755102041,0.958333333,0.833333333,0.93814433,0.8125,0.93814433,0.002160201,1.12E-07,0.033177562,0.009517187
184,0.00333333,0.002000014,0.8,1,20,2,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",233,0.734693878,1,0.833333333,1,0.833333333,1,0.00047137,1.12E-07,0.046656947,0
